step,epoch,loss,eval_loss,learning_rate,grad_norm,train_runtime,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_samples_per_second,train_steps_per_second
1,0.004990642545227698,0.8422130346298218,,0.0,1.4044097661972046,,,,,,,,
10,0.049906425452276984,0.7780009375678169,,2.9032258064516133e-05,0.7952112555503845,,,,,,,,
20,0.09981285090455397,0.4514895439147949,,6.129032258064517e-05,0.8073445558547974,,,,,,,,
30,0.14971927635683094,0.24593665599822997,,9.35483870967742e-05,1.374027967453003,,,,,,,,
40,0.19962570180910794,0.15699597597122192,,9.995174328003631e-05,0.8255953788757324,,,,,,,,
50,0.2495321272613849,0.1176686406135559,,9.97558599883248e-05,0.6047660708427429,,,,,,,,
60,0.2994385527136619,0.06120252013206482,,9.940992436428409e-05,0.38369742035865784,,,,,,,,
70,0.34934497816593885,0.04620162546634674,,9.891497967090344e-05,0.35000234842300415,,,,,,,,
80,0.39925140361821587,0.03618535995483398,,9.827251854855991e-05,0.34895187616348267,,,,,,,,
90,0.44915782907049284,0.03042372167110443,,9.748447851355535e-05,0.24919937551021576,,,,,,,,
100,0.4990642545227698,0.02969050109386444,,9.655323611500875e-05,0.18544362485408783,,,,,,,,
110,0.5489706799750468,0.023307038843631743,,9.548159976772592e-05,0.19908407330513,,,,,,,,
120,0.5988771054273238,0.02295745015144348,,9.42728012826605e-05,0.6618990898132324,,,,,,,,
130,0.6487835308796007,0.018291378021240236,,9.293048612050883e-05,0.27585533261299133,,,,,,,,
140,0.6986899563318777,0.018085113167762755,,9.145870239783142e-05,0.19748513400554657,,,,,,,,
150,0.7485963817841547,0.0186408206820488,,8.986188867885617e-05,0.30681273341178894,,,,,,,,
160,0.7985028072364317,0.015186500549316407,,8.814486058978035e-05,0.11741430312395096,,,,,,,,
170,0.8484092326887087,0.01364673227071762,,8.631279629593966e-05,0.17015235126018524,,,,,,,,
180,0.8983156581409857,0.013560198247432709,,8.437122088564198e-05,0.21085593104362488,,,,,,,,
190,0.9482220835932627,0.013801215589046479,,8.232598970776028e-05,0.39656147360801697,,,,,,,,
200,0.9981285090455396,0.015471774339675903,,8.018327071333521e-05,0.24935288727283478,,,,,,,,
201,1.0,,0.013587583787739277,,,,88.467,3.402,1.707,,,,
210,1.0449157829070492,0.011772140115499496,,7.794952585444068e-05,0.07722058147192001,,,,,,,,
220,1.0948222083593262,0.013615836203098298,,7.563149159640929e-05,0.11847425252199173,,,,,,,,
230,1.1447286338116032,0.013090965151786805,,7.323615860218843e-05,0.16383282840251923,,,,,,,,
240,1.1946350592638801,0.011769308149814606,,7.077075065009433e-05,0.5040339827537537,,,,,,,,
