step,epoch,loss,eval_loss,learning_rate,grad_norm,train_runtime,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_samples_per_second,train_steps_per_second
250,1.244541484716157,0.011700715869665146,,6.824270284854319e-05,0.28751736879348755,,,,,,,,
260,1.2944479101684343,0.014214959740638734,,6.565963921345895e-05,0.11778484284877777,,,,,,,,
270,1.3443543356207113,0.011088883876800537,,6.302934967597922e-05,0.1568281501531601,,,,,,,,
280,1.3942607610729882,0.012575259804725647,,6.035976658979846e-05,0.04748039320111275,,,,,,,,
290,1.4441671865252652,0.013792876899242402,,5.7658940808997394e-05,0.1419113129377365,,,,,,,,
300,1.4940736119775422,0.011973925679922105,,5.4935017408502274e-05,0.10729698091745377,,,,,,,,
310,1.5439800374298192,0.00981132835149765,,5.2196211120395444e-05,0.2119629830121994,,,,,,,,
320,1.5938864628820961,0.010469800978899001,,4.9450781560155816e-05,0.07777361571788788,,,,,,,,
330,1.643792888334373,0.00957641750574112,,4.6707008317541444e-05,0.16516698896884918,,,,,,,,
340,1.69369931378665,0.00940265879034996,,4.397316598723385e-05,0.1053515076637268,,,,,,,,
350,1.743605739238927,0.008964806050062179,,4.125749921454679e-05,0.08043070882558823,,,,,,,,
360,1.793512164691204,0.008443726599216462,,3.856819783145514e-05,0.08043703436851501,,,,,,,,
370,1.843418590143481,0.009402567148208618,,3.591337215792852e-05,0.08567860722541809,,,,,,,,
380,1.893325015595758,0.008882967382669449,,3.3301028543054935e-05,0.06957754492759705,,,,,,,,
390,1.943231441048035,0.009340494871139526,,3.073904521971689e-05,0.057438597083091736,,,,,,,,
400,1.9931378665003119,0.009500645101070404,,2.8235148545636776e-05,0.16568413376808167,,,,,,,,
402,2.0,,0.009880407713353634,,,,88.241,3.411,1.711,,,,
410,2.0399251403618215,0.00815862938761711,,2.579688970244313e-05,0.06120281293988228,,,,,,,,
420,2.0898315658140985,0.0073641322553157805,,2.3431621923028145e-05,0.062242016196250916,,,,,,,,
430,2.1397379912663754,0.007997743040323257,,2.1146478315873238e-05,0.05590835586190224,,,,,,,,
440,2.1896444167186524,0.008088170737028121,,1.894835035321991e-05,0.04384518414735794,,,,,,,,
450,2.2395508421709294,0.008198830485343932,,1.684386708796025e-05,0.042812999337911606,,,,,,,,
460,2.2894572676232063,0.00812239870429039,,1.4839375161924446e-05,0.06628164649009705,,,,,,,,
470,2.3393636930754833,0.006774494051933288,,1.2940919665855761e-05,0.06457683444023132,,,,,,,,
480,2.3892701185277603,0.00904328003525734,,1.1154225908794642e-05,0.06078208237886429,,,,,,,,
490,2.4391765439800372,0.006576008349657059,,9.484682151851832e-06,0.06400095671415329,,,,,,,,
500,2.489082969432314,0.008800873905420304,,7.937323358440935e-06,0.07177596539258957,,,,,,,,
510,2.5389893948845916,0.008296479284763337,,6.516816009976556e-06,0.059876371175050735,,,,,,,,
520,2.5888958203368686,0.008110030740499496,,5.227444032829887e-06,0.06145033985376358,,,,,,,,
530,2.6388022457891456,0.008075307309627532,,4.0730958789834295e-06,0.051251672208309174,,,,,,,,
540,2.6887086712414225,0.007349429279565811,,3.0572527993460053e-06,0.06503403186798096,,,,,,,,
550,2.7386150966936995,0.008067706227302551,,2.1829783450936283e-06,0.0636192038655281,,,,,,,,
560,2.7885215221459765,0.007425678521394729,,1.4529091286973995e-06,0.08976314961910248,,,,,,,,
570,2.8384279475982535,0.00803992971777916,,8.692468725013448e-07,0.06157718971371651,,,,,,,,
580,2.8883343730505304,0.007841809839010238,,4.337517688296544e-07,0.092084139585495,,,,,,,,
590,2.9382407985028074,0.007443325966596604,,1.4773717164784373e-07,0.0989416316151619,,,,,,,,
600,2.9881472239550844,0.0075349055230617525,,1.2065635786595586e-08,0.052314575761556625,,,,,,,,
603,3.0,,0.00942301657050848,,,,88.1365,3.415,1.713,,,,
603,3.0,,,,,14377.4706,,,,1.7770977193313894e+17,0.0416567224150471,0.669,0.042
603,3.0,,0.009423012845218182,,,,89.7156,3.355,1.683,,,,
